year,product_name,m_code,importer,manufacturer,coverage_status,price_tier,market_price_monthly,reimb_ceiling_quarterly,nhis_pays_quarterly,patient_pays_quarterly,burden_ratio,coverage_ratio,generated_at
2022,"CARESENS AIR, 바로잰 FIT",BM0600CA,(주)아이센스,ISENS,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2023,"CARESENS AIR, 바로잰 FIT",BM0600CA,(주)아이센스,ISENS,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2024,"CARESENS AIR, 바로잰 FIT",BM0600CA,(주)아이센스,ISENS,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2025,"CARESENS AIR, 바로잰 FIT",BM0600CA,(주)아이센스,ISENS,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2026,"CARESENS AIR, 바로잰 FIT",BM0600CA,(주)아이센스,ISENS,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2022,FREESTYLE LIBRE CGM SENSOR,BM0600EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2023,FREESTYLE LIBRE CGM SENSOR,BM0600EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2024,FREESTYLE LIBRE CGM SENSOR,BM0600EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2025,FREESTYLE LIBRE CGM SENSOR,BM0600EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2026,FREESTYLE LIBRE CGM SENSOR,BM0600EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2022,GLUCOSE SENSING DEVICE,BM0601AW,메드트로닉코리아,MINIMED INC,비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2023,GLUCOSE SENSING DEVICE,BM0601AW,메드트로닉코리아,MINIMED INC,비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2024,GLUCOSE SENSING DEVICE,BM0601AW,메드트로닉코리아,MINIMED INC,비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2025,GLUCOSE SENSING DEVICE,BM0601AW,메드트로닉코리아,MINIMED INC,비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2026,GLUCOSE SENSING DEVICE,BM0601AW,메드트로닉코리아,MINIMED INC,비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2022,FREESTYLE LIBRE 2 CGM SENSOR,BM0601EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2023,FREESTYLE LIBRE 2 CGM SENSOR,BM0601EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2024,FREESTYLE LIBRE 2 CGM SENSOR,BM0601EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2025,FREESTYLE LIBRE 2 CGM SENSOR,BM0601EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2026,FREESTYLE LIBRE 2 CGM SENSOR,BM0601EC,한국애보트,ABBOTT DIABETES CARE LIMITED,비급여,low,155000,210000.0,147000.0,318000.0,0.6838709677419355,0.3161290322580645,2026-03-12
2022,DEXCOM CGM SENSOR,BM0601KV,사이넥스,"DEXCOM, INC.",비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2023,DEXCOM CGM SENSOR,BM0601KV,사이넥스,"DEXCOM, INC.",비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2024,DEXCOM CGM SENSOR,BM0601KV,사이넥스,"DEXCOM, INC.",비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2025,DEXCOM CGM SENSOR,BM0601KV,사이넥스,"DEXCOM, INC.",비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
2026,DEXCOM CGM SENSOR,BM0601KV,사이넥스,"DEXCOM, INC.",비급여,mid,200000,210000.0,147000.0,453000.0,0.755,0.245,2026-03-12
