year,region_code,region_name,patient_count,visit_days,cost_krw_thousands,icd_scope,source,mean_fasting_glucose,high_glucose_rate_pct,screened_count,patient_share_pct,granularity,share_pct_rank,national_median_ratio,disparity_flag,시도,시군구,t1d_patients,t2d_patients,t1d_t2d_ratio,primary_care_pct,generated_at
2019,11,서울,696477.0,4374213.0,190073243.66,E10-E14,hira_regional_diabetes_2024,99.49,6.9,172105.0,20.73,시도,2.0,5.157,False,,,,,,,2026-03-12
2019,21,부산,233096.0,1831743.0,75121037.13,E10-E14,hira_regional_diabetes_2024,101.66,8.19,62098.0,6.94,시도,3.0,1.726,False,,,,,,,2026-03-12
2019,23,인천,185842.0,1329748.0,48179363.54,E10-E14,hira_regional_diabetes_2024,101.56,8.51,59845.0,5.53,시도,5.0,1.376,False,,,,,,,2026-03-12
2019,22,대구,169902.0,1357150.0,51627034.19,E10-E14,hira_regional_diabetes_2024,100.41,7.4,44823.0,5.06,시도,7.0,1.259,False,,,,,,,2026-03-12
2019,24,광주,95793.0,784020.0,32174578.45,E10-E14,hira_regional_diabetes_2024,102.24,8.3,27184.0,2.85,시도,14.0,0.709,False,,,,,,,2026-03-12
2019,25,대전,106604.0,818953.0,32635165.15,E10-E14,hira_regional_diabetes_2024,,,,3.17,시도,13.0,0.789,False,,,,,,,2026-03-12
2019,26,울산,67601.0,512927.0,18447283.67,E10-E14,hira_regional_diabetes_2024,,,,2.01,시도,15.0,0.5,False,,,,,,,2026-03-12
2019,31,경기,756215.0,5191749.0,190834972.92,E10-E14,hira_regional_diabetes_2024,,,,22.51,시도,1.0,5.6,False,,,,,,,2026-03-12
2019,32,강원,115233.0,788783.0,29594978.91,E10-E14,hira_regional_diabetes_2024,,,,3.43,시도,11.0,0.853,False,,,,,,,2026-03-12
2019,33,충북,108529.0,852099.0,31584061.96,E10-E14,hira_regional_diabetes_2024,,,,3.23,시도,12.0,0.803,False,,,,,,,2026-03-12
2019,34,충남,142184.0,1080678.0,36759908.7,E10-E14,hira_regional_diabetes_2024,,,,4.23,시도,8.0,1.052,False,,,,,,,2026-03-12
2019,35,전북,127180.0,1160970.0,39540895.61,E10-E14,hira_regional_diabetes_2024,,,,3.79,시도,10.0,0.943,False,,,,,,,2026-03-12
2019,36,전남,135051.0,1155233.0,39646248.01,E10-E14,hira_regional_diabetes_2024,,,,4.02,시도,9.0,1.0,False,,,,,,,2026-03-12
2019,37,경북,172964.0,1411756.0,46507620.77,E10-E14,hira_regional_diabetes_2024,,,,5.15,시도,6.0,1.281,False,,,,,,,2026-03-12
2019,38,경남,198238.0,1583940.0,58426894.46,E10-E14,hira_regional_diabetes_2024,,,,5.9,시도,4.0,1.468,False,,,,,,,2026-03-12
2019,39,제주,36902.0,249655.0,9510301.49,E10-E14,hira_regional_diabetes_2024,,,,1.1,시도,16.0,0.274,True,,,,,,,2026-03-12
2019,29,세종,11519.0,78314.0,2351934.05,E10-E14,hira_regional_diabetes_2024,,,,0.34,시도,17.0,0.085,True,,,,,,,2026-03-12
